,node,cluster,location,description,followers,name,created_at,likes,statuses_count
2069,PitaForUSA,0,NY,Small business owner in Eastern New York. Mother  Grandmother  Christian  Conservative. When GOD was taken away  morals and respect were lost! #MAGA #GOD,2245,Pita for USA,05-Oct-2011 (04:43:35.000000),103263,38429
2070,EliseVoteBlue,0,None,“Protest beyond the law is not a departure from democracy; it is absolutely essential to it.” Howard Zinn #VoteBlue2020 #VoteEarly #BidenHarris #VoteTrumpOut,310,Elise,27-Apr-2011 (03:58:41.000000),1496,1849
2071,snoopypez,0,Ohio  from California,Divine Queer Dissatisfaction. she/her,218,jaime | christmas duckling 🐥❄️🎄,31-Jul-2010 (05:36:27.000000),2219,62495
2072,HugoBoss7,1,miami florida,fashion designer . icon. best in the world. UHC.  Latin. business management. Miami. hugobossjr19 ig.,477,Hugo BOSS JR.,29-Jul-2009 (12:12:37.000000),173167,24652
2073,M_Riordan_,0,Portland  OR USA area,Mom #Jewelry #Enthusiast  #GIA Graduate #Gemologist.Good #Human.PROUD #DEMOCRAT!#Entrepreneur #Driven #ProblemSlvr #WorldTraveler  LoverOf #Life #Survivor😁,166,Maria Riordan PDX,26-Jan-2015 (20:05:28.000000),5243,3763
2074,SMUBLUE18,0,Texas,YOU CAN’T FIX STUPID  BUT YOU CAN VOTE IT OUT! ❤️Justice RGB4Ever TEXAS BLUE 💙 🤠 Isaiah 54:17 NewAcct💃🏾3K plus followers gone! 🙄,126,BlueBonnetDEM,19-Sep-2020 (02:38:35.000000),5467,2631
2075,tothelostmonth,0,ɥʇɹɐǝ ʇǝuɐlԀ,No to blind trust https://t.co/noVTX22R8m It. https://t.co/HVdckO7LCU It. Provide a legit link People lie Married/Mom/Grandma to African-American #BidenHarris2020 #Resist #NoMaga NO DM'S,475,tothelostmonth🇺🇸,13-Jul-2020 (19:06:43.000000),9542,23290
2076,KLemonLab,0,Houston  TX,The K Lemon Lab at Baylor College of Medicine identifies molecular mechanisms of interspecies interactions in human nasal microbiota. Opinions our own.,251,KLemonLab BlackLivesMatter StayHomeWorkSafe,29-Sep-2019 (20:54:42.000000),404,109
2077,moughthere,0,NYC,#Muslim #Jewish #Christian #Black #White #Latino #Asian #LGBT #Climate #Prochoice #SocialSecurity #Disability #Healthcare #MeToo #education #resistance #vote,9549,MissCrayon 🌊🇺🇸,09-Mar-2011 (02:27:28.000000),34923,197197
2078,JSixth,0,None,♥ Digital Art ♥ DIY Projects ♥ Handicraft,32,June Sixth,08-Sep-2020 (04:54:53.000000),52,305
2079,karunasanghvi,1,Mumbai  India,Tweets on politics  elearning and environment🤔🙏🇮🇳   Also at @iDesignGyan Blog https://cafewordy.wordpress.com/,385,Karuna Sanghvi,02-Dec-2008 (10:33:44.000000),6484,178
2080,thearicordi,0,Juneau  Alaska,VOTE!!! VOTE!!! VOTE!!!#BidenHarris2020#TeamJustice#JusticeMatters,487,Thêa Ricordi,10-Sep-2014 (10:39:47.000000),27523,13127
2081,AMilleur,0,State of Confusion,I'm a person who just speaks my mind. I love animals more than people. No trumping trolls  NO DMs and NO RED “X”! Please! Followed by a bunch of peeps.,7298,Anastasia Milleur,11-Dec-2015 (22:40:18.000000),84115,119215
2082,rocketmetalden,0,Fort Worth  TX 76133,"The world's #1 conspiracy theorist/rock n roll  XXX & hoax writer  nicknamed ""Rocket "" Mr. Cody's journalism is legendary  unmatched & frankly  frightening.""""",10016,Randy Rocket Cody,04-Aug-2009 (18:14:33.000000),20526,36957
2083,SEP_Rebecca,0,None,Science educator. Proud science geek. Committed to broad access to STEM learning and careers. Black Lives Matter. Tweets are my own.,151,Rebecca Smith,30-May-2013 (05:06:26.000000),1027,1140
2084,CoronaWorldStat,0,Netherlands,I retweet tweets from verified accounts who has #COVID19 mentioned,93,CoronaWorldStats,21-May-2020 (09:19:10.000000),15,37871
2085,scheeinfo,0,Taiwan,Veggie since 1991 | fmr advisor to Taipei and various TW govts | athletic | tech policy | startups,3146,T.H. Schee,15-Feb-2008 (02:34:56.000000),15374,2155
2086,AmandaPanda8309,1,Texas  USA,🇺🇸🇺🇸🇺🇸#Trump2020 #Cult45 🇺🇸🇺🇸🇺🇸 💋Trump is a bada$$💋 #ItCameFromChina #SaveTheChildren #NeverSocialism #2A #ChinaBitchBiden #TrumpTsunami,29241,(¯`*•.¸ ¤°´✿.｡.: SassyChump4Trump*.:｡.✿`°¤ ¸.•*´¯),15-Feb-2014 (22:03:35.000000),72964,168278
2087,chechibach,1,ohio,None,75,chelsie bachelor,29-Jun-2011 (01:37:54.000000),335,189
2088,kajundo,0,Southeast Fla/Hurricane season,*Male* #Trump2020 #MAGA #NRALifeMember#ProLife #SaveTheBabies#VoterID *Also on Parler just in case.*English only pls. NO DMs Lists or Locked/Private acct's.,32191,🇺🇸 🇮🇱 Kajundo,15-Sep-2012 (11:43:05.000000),21612,40587
2089,Caitlin80547616,0,None,I’m just💘 here for sex from a white boy with mommy issues. My WhatsApp +1(832)382-6366,19,Caitlin Kelly,30-Jun-2020 (12:47:33.000000),1278,791
2090,JamieHeres,1,None,Jewish ‘n hella Queer ✌️she/her,2,Here'sJamie,01-Dec-2019 (22:52:30.000000),306,22
2091,PontiacElem,0,Elgin  South Carolina,Creating joyful leaders and learners,940,Pontiac Elementary,07-Aug-2009 (13:26:50.000000),1613,2470
2092,tosc411,0,NJ,Just me being me... To know me  is to respect me. Living life for peace and happiness!! Being a mom is the most important!!! Nurses love and care...,128,Candice C Buno (Sot)  RNC BSN,15-Feb-2010 (01:54:38.000000),3571,634
2093,atla_fan,0,None,😎  Support all Saint's dreams  respect anyone who respects him.Traduzco por diversión y como hobby. Fan account/cuenta de fan.,729,fanatla (REST),04-Dec-2016 (11:10:52.000000),75623,57467
2094,RoxbyMD,0,Seattle  WA,Infectious disease doc  public health researcher  #womeninmedicine  she/her. Fighting viruses since 2003. Tree hugger.,143,Alison Roxby,04-Apr-2020 (23:25:28.000000),378,119
2095,AmDiabetesAssn,0,Arlington  VA,#Diabetes has brought us together. What we do next will make us #ConnectedForLife.,145005,amdiabetesassn,11-Mar-2009 (17:25:33.000000),9814,22863
2096,BourdinFred,0,Florida,I will follow back if you follow me,7622,Fred bourdin,28-Jun-2017 (06:41:06.000000),125878,230243
2097,Dianegagne16,0,Montreal ,I am married for 20years have 4kids I 4dogs 3cats  I enjoy travelling  walking biking cooking music music,43,Lulu,13-May-2020 (10:44:22.000000),1567,4094
2098,Teachme64,0,New York  USA,Living and loving life with my wonderful husband and beautiful daughter.,98,Little Trae,09-Jun-2019 (04:51:22.000000),19570,5376
2099,Deb79425469,0,None,Still a hippie,17,Deb,07-Jun-2020 (02:16:47.000000),380,4699
2100,lalipopbubbles,1,None,None,27957,🕊✨LORI LYONS©✨🕊,09-Dec-2014 (22:29:42.000000),211798,254179
2101,Sharon1617,1,Nebraska ,None,37,Sharon Breaman,01-Jul-2011 (21:12:36.000000),6832,4066
2102,wethepeopleusa,0,Chicagoland Area,Reporting government tyranny  lies and media bias. Exposing the impostors of pretend patriotism. Defending Liberty one Tweet at a time. #MAGA,3317,Libertas,05-Feb-2009 (00:56:42.000000),6242,18654
2103,dmworley4,0,Burleson  Texas,None,94,Michelle Worley,06-Jun-2012 (14:18:13.000000),6524,849
2104,puzzlesthewill7,0,Lexington KY USA,#DumpTrump #DitchMitch #TheResistance Working for democracy  equality  reason  justice  & decency. Equal access to education  health care  & jobs. Love dogs,975,J Gatton Prats,31-Oct-2008 (11:27:04.000000),79816,173640
2105,bigdickmix,1,Columbus  OH,None,29,Mix,16-Feb-2020 (06:25:22.000000),192,334
2106,t_sut,1,Enjoy #books  #movies  #travel  #food,Professional #Librarian. Like connecting people with books and media. Will share own views about #books and #movies  #DailyMotivation #BidenHarris,2685,tanazs,17-Aug-2011 (17:21:01.000000),6789,18640
2107,sillysmilelaugh,0,None,She/her-24- I just share and post about stuff that I'm into  Nice to meet you.,138,Lunachu96♡,22-Jan-2014 (22:20:21.000000),57445,5197
2108,BartenderEddieJ,1,None,None,422,Edward Jones,10-Sep-2016 (03:26:35.000000),4217,7299
2109,therealjorahkai,0,Chongqing China/Toronto Canada,Writer  Teacher  Rebel  Outlaw  FalfafelSir & Lvl 5 Hummusmancer. #GreenNewDeal Welcome to the bazaar of the bizarre. https://t.co/I6C1AWckyF & https://t.co/ky85FFrQHh,1264,Jorah Kai #wearamask #vote #dontstopbelieving,23-Jan-2012 (07:28:52.000000),1810,1774
2110,Rey_Ray,1,Bronx  NY,Unfiltered. Evil midget trying to take over the world.,610,Selena Quintanilla,13-Apr-2009 (04:53:11.000000),59574,50722
2111,jengrimes8,0,None,No DM's please  It may take a minute to follow you back because I vett first.,9553,jen grimes,27-Jun-2014 (13:39:59.000000),356251,298061
2112,stepinrazor,0,NYC,I make the thing you watch.,248,stepinrazor,14-Nov-2008 (02:27:18.000000),9577,10264
2113,NoxDominor,1,None,🐻 Any leading lady who doesn't do a double-take when a nine-foot bear asks her to dance is my kind of actress🚨 Communities Oust Police Offender Unions Today,32,NoxDominor,14-Mar-2019 (00:17:47.000000),938,711
2114,GalaticWind,0,None,None,4,GalaticWind,31-Oct-2020 (16:57:28.000000),50,15
2115,DIORTAE95_,1,smile  it looks good on u,⠀—SHE/HER ! ㅤㅤ❝ ✰ 뷔 ✰ ❞ 소울메이트 • @chelsea_cian ♡,7094,ً mei⁷ ♡’s tete ia,22-Feb-2020 (13:01:49.000000),11010,3378
2116,bbmcbiii,1,None,None,53,IRAFLATOWFAN,04-Nov-2011 (17:51:42.000000),1761,1067
2117,michaelturton,0,None,Out biking.,2665,michaelturton,12-Aug-2007 (01:01:17.000000),17048,27172
2118,CycloneLizzy,0,Gunai & Kurnai Peoples' Lands,#ENTP #Music #Film #Poet #Editor #CurrentlyWritingABook #writingScreenPlay #FamilyWellbeing #MentalHealth #socialhousing #Diversity #Inclusion #Humanity #BeKind,6639,Liz Pearson,17-Mar-2014 (00:06:39.000000),170044,140575
2119,lewis_king10,1,Trenton New jersey,LORD i want what you want for me. #Chiefskingdom 🏈. ⚽️#Halamadrid ⚾️Kansas city Royals LAKERS-🏀. Fb-Lewis King. Snapchat-Str8offdaboat,553,🇱🇷🛫Figo-7🛬🇺🇸,10-Sep-2011 (20:17:29.000000),1178,7006
2120,edwardbenson,0,Taipei  Taiwan,Applied Research + Creative Practice. I believe in you.,2446,Ted Benson,23-Sep-2008 (22:44:54.000000),3689,5713
2121,hobismiiles,1,(they/them),ʏᴏᴏɴɢɪ: ᴄʟᴏᴡɴs. ᴛʜᴀᴛ's ᴡʜᴀᴛ ʏᴀʟʟ ᴀʀᴇ.multi° | 21🌈| fan acc,443,namu🌱⁷°,02-Sep-2018 (10:08:55.000000),35501,24622
2122,ViviadmiresCote,0,Lima  Peru (Southamerica),44 year old lawyer with business major  agribusiness master student  former volleyball pro player  & fan of NCIS  ER  DESIGNATED SURVIVOR and LUCIFER TVShows.,1168,Viviana B. Soto,11-Apr-2009 (03:09:57.000000),9748,20434
2123,KeithJonesJr,1,District of Columbia  USA,Political Adviser | Social Activist | Cowboys Nation| Morehouse Man '08 | 2015 DC Black Pride Awardee | Trekkie | Leo | JTribe | PSN KDJunior85,7483,✭ VOTE ✭ 🏳️‍🌈🇹🇹🇺🇸,18-Aug-2008 (21:18:58.000000),80559,345785
2124,DrewSimonByrne2,0,None,Husband to a very sexy wife  father of 2  lover of American heavy metal  ice hockey  believe in equal rights for all  incl healthcare and a never trumper,119,Drew Simon Byrne,10-Dec-2016 (06:52:29.000000),6462,2993
2125,rhugh4791,0,North of Nowhere,Retired Auto Exec.  Dedicated cyclist  snarkist  doubting thomas   optimist 🇨🇦.,2088,Rick Atkinson,24-Mar-2015 (21:05:29.000000),148713,101621
2126,ABrenna29240305,1,None,Follower of Universal Truth  vegan  native Floridian  retired nurse. Book  music & animal lover; working to love all people. Spiritual direction intern.,611,Spring Chicken,27-Oct-2017 (20:59:35.000000),76178,76273
2127,canttakeitanym3,1,Boston  MA,Hi! SO utterly confused about what is going on in the USA right now 🤯 #ResistersUnite #VoteBlue #BidenHarris2020 💙🌊 #FBR #BlacklivesMatter ✊🏼#Vote,2262,So confused 🤷🏻‍♀️ resists tRump 🌊💙,10-Jul-2020 (04:47:00.000000),10446,2867
2128,drpavithranp,0,Mangalore  India,(RTs are not always endorsement),177,drpp,08-Feb-2015 (16:55:46.000000),18331,4659
2129,WHOTimorLeste,1,Timor-Leste,Official @twitter account of WHO Country Office  Timor-Leste,12385,WHO Timor-Leste,20-Sep-2017 (01:38:10.000000),4652,6015
2130,Marilou858,0,England  United Kingdom,Mid Century Retro Vintage Art Deco Antique Jewellery Furniture Unrestored Near London England GB UK  🏴󠁧󠁢󠁥󠁮󠁧󠁿 🇬🇧 NO Politics  Porn 🙂 Tweets in Likes,3742,🦋Marilou858🦋󠁧󠁢󠁥󠁮󠁧󠁿,23-Sep-2013 (02:10:22.000000),3106,95280
2131,sharpegal4,1,None,British/American  she/her  Tulane Public Health grad  emergency room worker  on her way to medical school. #Biden2020,142,isabelblunt,21-Mar-2013 (17:13:47.000000),4851,1226
2132,slsulistiani,1,97,Life goes on. Let's live on✨,1742,ENHYPEN DEBUTᴮᴱ⁷,23-May-2012 (04:39:17.000000),351,56750
2133,MDEhsaanAli6,1,None,www.News18 Bihar,9,MD Ehsaan Ali,31-Oct-2020 (14:25:00.000000),206,296
2134,CookiesByGeorge,0,Canada,#YEG based company baking #cookies everyday since 1983. All of our cookie dough is made from scratch.🍪 Delivery across #Canada & USA. #BecauseYouCantEatFlowers,3700,Cookies By George,11-Jul-2012 (14:50:05.000000),9057,9640
2135,thaveeshalp,0,Kandy Sri Lanka ,Finance Undergraduate | LK🇱🇰,259,Thaveesha Prabharatne,14-Apr-2015 (14:55:07.000000),8374,415
2136,faddray,0,Beijing  PRC.,Researcher  Ecotoxicologist. #micro/nanoplasticspollution #plasticpollution #aquatictoxicology #MP routes and human exposure #MPs in food products,399,Oluniyi O. Fadare (Ph.D.),24-Dec-2011 (17:27:13.000000),1147,4110
2137,SpokespersonMoD,1,New Delhi,Principal Spokesperson  Ministry of Defence  Government of India,442269,A. Bharat Bhushan Babu,10-Feb-2015 (06:13:29.000000),97,41186
2138,mhcsnsw,0,None,Official account for NSW Multicultural Health Communication Service. Monitored Mon-Fri 9am-5pm. It does not provide medical advice. Call 000 in an emergency.,601,NSW Multicultural Health Communication Service,20-Aug-2018 (02:00:05.000000),483,2018
2139,shewage,1,Sri Lanka,😍😍😍,143,Suresh Hewage,11-Jun-2010 (11:42:20.000000),6339,449
2140,jonathanjewel,1,Anchorage  AK,I truly hope we are a nation that votes for democracy rather than a dictatorship / Vote Blue / Biden-Harris,15436,Jonathan Jewel,30-Oct-2011 (01:34:26.000000),305879,405190
2141,Kw33n_888,0,NC 🛩VA,🏳️‍🌈Unsure how I actually ended up here 🤷🏽‍♀️Oh  and I like spiritual shit 🔮💫🧘🏽‍♀️oh and astrology ♏🦂,230,Geezy,09-Oct-2019 (19:16:15.000000),4986,4284
2142,AlexF13185856,1,Fort Collins  CO,Colorado  #FortCollins Small business  Black Lives Matter  Microbiology+Political Science.I want to be a political leader. Might run for office #TeamJoe,68,Alex F. For Fort Collins,15-Sep-2020 (14:31:10.000000),3680,924
2143,TimRampersaud,0,None,None,23,Tim Rampersaud,29-May-2015 (22:40:44.000000),36,44
2144,crystalsnowtk,1,in between jks thighs,kim taehyung: wingless angel  founder of homosexuality ༊*·˚ bun/buns!any prns,1291,berry⁷𓍯𐤀holding aj 📌,11-Dec-2019 (20:11:02.000000),50464,25389
2145,Laughhon,1,Northeast Ohio,Tennis . Travel . Cycling. Boating . Single . Garden . Animal Lover. Beach-bound. Cleveland Rocks.,313,Susie G,11-Mar-2009 (00:20:37.000000),27710,21357
2146,cbcnewsbc,0,Vancouver  British Columbia,Breaking news  analysis and in-depth stories from CBC News in B.C.,250934,CBC British Columbia,03-Nov-2008 (20:07:22.000000),528,180187
2147,oyekaler_,1,Chandigarh  India,hasta luego ♥️,54,AK,09-Aug-2014 (15:28:01.000000),1635,2886
2148,thitoch,0,None,‏پزشک، مادر فرزندپذیر...در من زندانی ستمگریستکه به آواز زنجیرش خو نمی کند,1068,دونده دو استقامت,15-Dec-2010 (12:11:36.000000),38326,13951
2149,Alexand59338197,0,Manitoba,I have Twitter to follow politics.,4,Alex Robertson,31-Aug-2020 (04:26:25.000000),208,48
2150,ClusherJoe38,1,日本,💫みなさま、映画や音楽は自分の人生の中で夢や希望や感動、そして支えでした。その恩返しに 愛と感謝を込めて大好きなアーティスト全般の方々を🌟応援してます。日々のツィートで世界の何処かの 誰かの心を💗ほっこりする事が出来たらそれだけで✨幸せです。たまに🌏地球の美しい自然や可愛い動物たちに癒されてくださいませ。 🌈,532,💫 Marty38♪ 🌏,28-Oct-2019 (06:22:50.000000),71048,61282
2151,teddscofield,0,Overland Park  KS,wear a f$@king mask. micro-blog  thoughts  mine. theiy’re yoeur’es know. doing it wrong the right way. programmer,306,Tedd Scofield,11-Mar-2010 (02:40:04.000000),13281,10445
2152,taicheUK,0,Turkey and UK,Acrylic Artist and Graphic Designer. A self-representing artist with too many ideas and too little time. Yorkshire born enjoying life in Turkey.🇬🇧🇹🇷,3039,taiche,26-Mar-2009 (06:19:42.000000),6890,235977
2153,jzomom,0,None,Truth matters  Science matters  Words matter. ID doc  photog,50,me,20-Dec-2009 (02:09:58.000000),20654,6292
2154,D_NoisyMinority,1,South Carolina  USA,❤️Vets. ❤️Tech ❤️Science ❤️CHRIST ❤️🇱🇷 ❤️Independent ❤️Teachers ❤️FirstResponders ❤️ALL ❤️🤦🏿‍♂️BlackLivesMatter,55,Daughty Hopper,18-Feb-2019 (17:57:43.000000),4071,5529
2155,Tash12XII,1,None,USMC Veteran/NiMiiPuuPoli Sci/Bus Admin Major 🌲Pursuing quality of life issues for Indigenous  Women & Veterans 💜,123,Tash (pauletteforsenate.com),04-Feb-2019 (10:08:58.000000),40658,4634
2156,patti_recser,1,Ruskin  FL,In a world where you can be anything...be kind.,83,Peanut&PoohsYaya,23-Feb-2016 (04:11:06.000000),19091,1007
2157,CrazyCommonCens,1,None,#Feminist. Oppose racism  bigotry and misogyny. Fighting for equality  freedom and intelligence.,1338,CrazyCommonSense 86451132020,19-Apr-2013 (21:46:58.000000),346505,251524
2158,alvaroaasg,1,None,20. El hombre no puede obtener nada  sin dar algo a cambio. Para crear algo debe darse algo de igual valor.,2345,Álvaro,29-Apr-2011 (20:30:59.000000),10895,22026
2159,replilly78,0,78th District,Honored to Serve the 78th district of Illinois.,746,Camille Y. Lilly,01-Sep-2016 (03:02:40.000000),598,1080
2160,daviskathy02,1,None,None,976,Kathy Davis,11-Dec-2012 (21:58:57.000000),18172,24659
2161,Ceiyb_Bae,1,None,NO เผด็จการ + #ยกเลิก112 #หยุดคุกคามประชาชน,4779,||| เจี๊ยบเบซิลล่า (ทวิตติดลิมิต) 🐥,04-Sep-2018 (08:50:28.000000),11453,117300
2162,uncggrad96,1,None,None,49,Dandy,14-Aug-2009 (16:53:30.000000),4815,813
2163,RVHugs,0,Missouri  USA,This guy's been around for awhile: Liberal (but not soft). Addressing issues in news & politics with a laugh rather than a whine. Writer.,2637,R.Vincent Hugs,27-Feb-2014 (00:25:26.000000),11340,10604
2164,Wild4OxfordWA,0,None,MD  scientist  local business owner  animal lover  skincare expert  patient advocate  love Europe-not the EU. BXP Parliamentary Candidate #OxfordWestAbingdon,1733,Allison Wild ➡️🇬🇧,05-Aug-2019 (20:06:24.000000),92531,5537
2165,pampam94612961,0,Paris,Technical Analysis of the Financial Markets - ETF Turbo portfolio - investor sentiment,24,pampam,26-Dec-2019 (12:39:31.000000),1473,929
2166,SaboJune,1,Tampa,Tampa HR Professional  Dog Lover  Horse Obsessed  Advocate of Democracy. #Resist #FBR,3360,june sabo,31-May-2014 (18:06:17.000000),80486,79139
2167,osiro_ruth,0,Kenya,None,206,Ruth Osiro,06-Aug-2015 (20:31:33.000000),10371,3185
2168,1776usafreedom,0,None,America  love it or leave it🇺🇸   if you call humans a Bot  you're an unemployed broke-ass idiot/old actress.Money 101: 8 month Emergency Fund💰no $600 4U.,2,🇺🇸1st Amendment opinions🇺🇸,19-Feb-2019 (22:27:48.000000),7,3096
2169,peterlouwe,0,British Columbia,Former television reporter and journalist  now doing comms and other things. Still like finding stuff out and telling people about it. #vanpoli #bcpoli #vanre,2475,Peter Louwe,03-Mar-2009 (23:34:07.000000),2109,15523
2170,ploggingsarah,1,None,Wife  Mom  Teacher  Liberal.,271,Sarah,01-Sep-2020 (01:48:19.000000),3716,2910
2171,kimfoster_kim,1,California  USA🧘🏿‍♀️,Clinical Social Worker. Proud Mom of Jacki Storm. Advocate for Social Justice and Equality. My Black Skin is so Beautiful!! 🖤,5264,Kimberley 💙,09-Jun-2013 (15:29:56.000000),30635,8129
2172,sofiegeorge,1,None,None,5353,glenda george,05-Aug-2009 (15:57:21.000000),513303,588544
2173,TeamCorvette34,0,Red Sector A West Virginia ,Yeshua HaMashiach▪King of Kings▪Lord of Lords▪ ▪︎Saved by the Grace of God!▪︎ ▪︎🇺🇸✝️🕎✡🇮🇱▪︎ ▪︎Guitars▪︎Music▪Racing▪︎,5055,Steve L. 🇺🇲,29-Dec-2011 (03:30:09.000000),118163,99999
2174,Ernesto31442209,0,None,Observar la Tierra desde el Espacio  es como nos observáramos a sí mismos.,139,Ernesto,12-Jul-2019 (02:10:35.000000),19807,23304
2175,MyBeautyBug,1,Canada,Love of Fashion  Makeup  Skincare  Jewelry  Giveaways   Pop Culture & Traveling  Food & Drinks I fight for animals & the poor,1432,MyBeautyBug,01-Nov-2011 (20:10:44.000000),50734,128408
2176,Liz_on_Earth,1,None,She/Her/NO DMs /Follow-Back/Support LGBTQ/Trans rights 🌈⚧ Hobby Artist. Humanist. Respect Animals. #Liberal leaning #resist #BLM  I BLOCK TROLLS 🇺🇸 🇨🇦,338,Elizabeth S.,01-Mar-2017 (16:30:28.000000),33833,6815
2177,mami_mami813,1,Tokyo / Akron,Please know that you are my one and only true love and I will never leave you  regardless of what life will throw at us. My love is eternally yours..,11253,mami..🌹,26-May-2013 (11:26:06.000000),115211,167824
2178,orlando93376256,1,None,Veteran  likes animals and sports     blue,1565,lander 20,18-Feb-2020 (03:35:31.000000),262,19005
2179,MichaelNegrn2,0,Connecticut  USA,Grandfather/Abuelo/Ojiisan  Dad  Husband  Brother  Son  Consultant/Advisor  Citizen  Mets fan. Witness Stones board of directors. he/him/his,109,Michael Negrón,03-May-2018 (00:37:41.000000),5968,4726
2180,PsyDame,1,TN,Doctor of psychology and criminology. Happily married liberal ready to get this country back on track 🌊🌊🌊.,868,PsyDame,04-Aug-2014 (16:57:31.000000),78448,12497
2181,resistsister,0,Houston  TX,RESISTING. army brat. FBR. BLM. pro-SCIENCE! OG snacktivist. LGBTQ+ ally. she / her. vote blue. 🇺🇸🌊✊🏻,697,ELLIPSES S GRANT - blue in texas,23-Jul-2009 (01:27:59.000000),97775,6922
2182,MorningStarBird,0,None,Love all animals wild & domestic! Love nature  for in wildness is the preservation of the world (Henry David Thoreau). Be kind to one another!,470,KITTY CAT,26-Jan-2016 (19:13:31.000000),18077,23262
2183,andrea98951568,1,None,None,5,andrea,27-Mar-2020 (16:03:40.000000),1071,1069
2184,Eina_hpets85,1,None,None,48,Steph,22-Apr-2020 (21:43:11.000000),8625,5817
2185,NolanBurg,0,Cary  NC,🧀 @Packers Owner 🏈 | 🎥 @DukeMBB ✂️ | 🎙@greystreetpod 🎷| Husband | Dad | Views Are My Own,960,Nolan Elingburg,30-Sep-2008 (17:55:31.000000),9749,3247
2186,capedcrusader21,1,Philadelphia  PA,Leprechaun-A mischievous little magical man|| Gamer🎮 & part 🐺|| RIP Baby brother Melvin Harris Jr.💙 RIP Aunt Sandy💖PSN:capedcrusader21 ✊🏾♐️🇯🇲✨🧚🏾‍♂️,4400,A real-life MACHOP,14-Apr-2009 (01:09:18.000000),7018,49845
2187,wasteoftym,0,None,None,1550,Julie Walker,20-Dec-2008 (00:26:18.000000),112497,192633
2188,CrazyCatRescuer,1,None,ProLife conservative that ❤️ military/animals/martial arts & Vietnam Vet husband. #Catholic #MAGA #MolonLabe #IStandWithFlynn #CruzCrew #Parler,31293,Anne #StopYulin ⭐️⭐️⭐️,17-Dec-2012 (19:55:29.000000),250571,261977
2189,ARealChristian3,1,None,None,133,ARealChristianNotaBot,30-May-2020 (08:00:31.000000),5488,40274
2190,MoniB777,1,Manhattan  NY,I'm a mother. I enjoy cooking reading  photography  movies  CNN  & politics. I ❤️& trust in God. 🙏🏽,416,Moni #RidinWithBiden #BidenHarris2020🇺🇸,01-May-2009 (13:32:29.000000),37188,24546
2191,TheJosiahQ,1,Texas  USA,Red pilled #WWG1WGA #MAGA #TRUMP2020 #2A Isaiah 40:31 - But those who hope in the Lord will renew their strength. They will soar on wings like eagles...,2800,TheJosiahQ,21-Jul-2011 (20:56:48.000000),5721,7037
2192,kiawikiwiki,0,PARLER. 1pissedpatriot @Kiawik,Conservative God Guns Family. NO PC #NRA #1A #2A #ProLife #TRUMP_2020 #MAGA #AllLivesMatter proud #Chump4Trump married to my personal hero. Survivor.,6793,🇺🇸🇺🇸1 Pissed Patriot🇺🇸🇺🇸,05-May-2009 (23:41:38.000000),34761,49803
2193,ErniePala,1,None,None,19,Ernie,17-Oct-2015 (21:31:48.000000),19237,2203
2194,LovinskiPaula,1,None,None,148,Paula Lovinski,08-Jan-2020 (14:02:51.000000),31608,35695
2195,BiglyHope,1,United States,Keeping hope alive. #writer #artist #baseball lover #ignorancefighter,487,Hope Bigly,15-Dec-2019 (17:56:58.000000),36738,39134
2196,Bangtanbros7,1,RoseBowl 5419 ,HOT 100 - Dynamite #️⃣1️⃣ ×3                                                     “HOPE RIGHT HERE🤘🏽” ~☀️    *she/her*   '98🤪🤘🏽,389,ᴮᴱIONYSUS⁷,23-Apr-2018 (19:42:21.000000),62156,87316
2197,Tazatator,0,Pittsburgh  PA,Editor. #Veterans #Guitars #Dermatology #SoldiersofOdin #getarug #outthedonors #Extortion17: https://tazatator.wordpress.com/category/military/,5112,Word Monger,07-Aug-2011 (02:34:41.000000),31282,143846
2198,radio_on_berlin,0,Berlin,interviews  stories  home made sounds  poetry  avant-radio & guests  24 hours a day - all tweets are by our bot.,576,Radio On,08-Mar-2012 (12:52:11.000000),55,126811
2199,jordyn1023,0,United States,20//SJC ‘22,338,Jordyn,03-Feb-2014 (15:00:18.000000),18904,27153
2200,liltiddyemogf,1,phx,no justice  no peace • she/her •  eighteen  ☉ cancer ↑ libra ☽ sagittarius,115,alo 🐣,02-Sep-2018 (00:09:39.000000),28277,6750
2201,esmesmedicine,0,None,Official Twitter account of Esmé’s Medicine,0,Esme’s Medicine,07-Sep-2020 (23:17:09.000000),0,3
2202,WorldwoutTrump,0,West Coast  USA,Father of daughters  concerned citizen  lawyer  critical thinker  commentarist  imperfect human #theresistance #resist.,4412,WorldWithoutTrump,04-Jun-2020 (17:15:45.000000),1827,16322
2203,hightechchik,0,Maryland  USA,Tech Entrepreneur  Mama and Aaji of three  Living life smart.,21,High tech Chik,08-Aug-2017 (19:08:24.000000),26,81
2204,1i_bandit,1,Indiana ,Dad of three,124,1iBandit,26-May-2020 (22:26:52.000000),40743,3061
2205,TheLastBubble,1,United States,One last chance America! If Donald Trump remains  America is gone and many  will flee. I'm included. #RefuseFascism #TheResistance #ClimateVote #LGBTQIA,7550,America Refuse Fascism Remove Trump-Pence Now,15-Feb-2008 (18:25:27.000000),72134,76851
